AIRPORT,SEATS,OCCUPIED,TIME
LAX,250,236,WEEKEND
YVR,250,229,WEEKEND
LAX,450,349,WEEKEND
JFK,450,358,WEEKEND
LAX,450,375,WEEKEND
YVR,450,424,WEEKEND
LAX,200,173,WEEKDAY
JFK,200,164,WEEKDAY
LAX,200,195,WEEKDAY
YVR,200,174,WEEKDAY
LAX,250,205,REDEYE
JFK,250,213,REDEYE
LAX,250,244,REDEYE
YVR,250,209,REDEYE
LAX,450,345,WEEKDAY
JFK,450,361,WEEKDAY
LAX,450,404,WEEKDAY
YVR,450,379,WEEKDAY
LAX,200,164,REDEYE
JFK,200,169,REDEYE
LAX,200,184,REDEYE
YVR,200,174,REDEYE
LAX,250,225,WEEKDAY
JFK,250,214,WEEKDAY
LAX,250,235,WEEKDAY
YVR,250,204,WEEKDAY
LAX,450,379,REDEYE
JFK,450,412,REDEYE
LAX,450,415,REDEYE
YVR,450,386,REDEYE
LAX,200,179,WEEKDAY
JFK,200,172,WEEKDAY
LAX,200,186,WEEKDAY
YVR,200,180,WEEKDAY
LAX,250,211,REDEYE
JFK,250,231,REDEYE
LAX,250,240,REDEYE
YVR,250,209,REDEYE
LAX,450,371,WEEKDAY
JFK,450,386,WEEKDAY
LAX,450,402,WEEKDAY
YVR,450,385,WEEKDAY
LAX,200,178,REDEYE
JFK,200,176,REDEYE
LAX,200,185,REDEYE
YVR,200,176,REDEYE
LAX,250,212,WEEKDAY
JFK,250,214,WEEKDAY
LAX,250,244,WEEKDAY
YVR,250,226,WEEKDAY
LAX,450,369,REDEYE
JFK,450,423,REDEYE
LAX,450,393,REDEYE
YVR,450,397,REDEYE
LAX,200,167,WEEKEND
JFK,200,171,WEEKEND
LAX,200,189,WEEKEND
YVR,200,185,WEEKEND
LAX,250,205,WEEKEND
JFK,250,204,WEEKEND
LAX,250,222,WEEKEND
YVR,250,225,WEEKEND
LAX,450,355,WEEKEND
JFK,450,359,WEEKEND
LAX,450,396,WEEKEND
YVR,450,407,WEEKEND
LAX,200,180,WEEKEND
JFK,200,177,WEEKEND
LAX,200,177,WEEKEND
YVR,200,185,WEEKEND
LAX,250,217,WEEKEND
JFK,250,213,WEEKEND
LAX,250,238,WEEKEND
YVR,250,224,WEEKEND
LAX,450,385,WEEKEND
JFK,450,372,WEEKEND
LAX,450,375,WEEKEND
YVR,450,423,WEEKEND
LAX,200,171,WEEKDAY
JFK,200,170,WEEKDAY
LAX,200,177,WEEKDAY
YVR,200,162,WEEKDAY
LAX,250,210,REDEYE
JFK,250,224,REDEYE
LAX,250,223,REDEYE
YVR,250,222,REDEYE
LAX,450,378,WEEKDAY
JFK,450,380,WEEKDAY
LAX,450,381,WEEKDAY
YVR,450,399,WEEKDAY
LAX,200,179,REDEYE
JFK,200,169,REDEYE
LAX,200,187,REDEYE
YVR,200,168,REDEYE
LAX,250,203,WEEKDAY
JFK,250,207,WEEKDAY
LAX,250,230,WEEKDAY
YVR,250,203,WEEKDAY
LAX,450,373,REDEYE
JFK,450,398,REDEYE
LAX,450,387,REDEYE
YVR,450,381,REDEYE
LAX,200,164,WEEKDAY
JFK,200,162,WEEKDAY
LAX,200,196,WEEKDAY
YVR,200,174,WEEKDAY
LAX,250,206,REDEYE
JFK,250,232,REDEYE
LAX,250,243,REDEYE
YVR,250,222,REDEYE
LAX,450,383,WEEKDAY
JFK,450,376,WEEKDAY
LAX,450,405,WEEKDAY
YVR,450,404,WEEKDAY
LAX,200,163,REDEYE
JFK,200,181,REDEYE
LAX,200,192,REDEYE
YVR,200,166,REDEYE
LAX,250,209,WEEKDAY
JFK,250,216,WEEKDAY
LAX,250,241,WEEKDAY
YVR,250,205,WEEKDAY
LAX,450,388,REDEYE
JFK,450,412,REDEYE
LAX,450,386,REDEYE
YVR,450,371,REDEYE
LAX,200,171,WEEKEND
JFK,200,173,WEEKEND
LAX,200,193,WEEKEND
YVR,200,192,WEEKEND
LAX,250,206,WEEKEND
JFK,250,217,WEEKEND
LAX,250,227,WEEKEND
YVR,250,231,WEEKEND
LAX,450,351,WEEKEND
JFK,450,368,WEEKEND
LAX,450,400,WEEKEND
YVR,450,394,WEEKEND
LAX,200,167,WEEKEND
JFK,200,178,WEEKEND
LAX,200,184,WEEKEND
YVR,200,186,WEEKEND
LAX,250,221,WEEKEND
JFK,250,202,WEEKEND
LAX,250,225,WEEKEND
YVR,250,239,WEEKEND
LAX,450,348,WEEKEND
JFK,450,398,WEEKEND
LAX,450,410,WEEKEND
YVR,450,415,WEEKEND
LAX,200,180,WEEKDAY
JFK,200,175,WEEKDAY
LAX,200,195,WEEKDAY
YVR,200,167,WEEKDAY
LAX,250,212,REDEYE
JFK,250,232,REDEYE
LAX,250,229,REDEYE
YVR,250,227,REDEYE
LAX,450,387,WEEKDAY
JFK,450,359,WEEKDAY
LAX,450,415,WEEKDAY
YVR,450,397,WEEKDAY
LAX,200,180,REDEYE
JFK,200,170,REDEYE
LAX,200,183,REDEYE
YVR,200,166,REDEYE
LAX,250,210,WEEKDAY
JFK,250,218,WEEKDAY
LAX,250,237,WEEKDAY
YVR,250,222,WEEKDAY
LAX,450,354,REDEYE
JFK,450,400,REDEYE
LAX,450,420,REDEYE
YVR,450,388,REDEYE
LAX,200,172,WEEKDAY
JFK,200,166,WEEKDAY
LAX,200,192,WEEKDAY
YVR,200,174,WEEKDAY
LAX,250,205,REDEYE
JFK,250,235,REDEYE
LAX,250,222,REDEYE
YVR,250,212,REDEYE
LAX,450,372,WEEKDAY
JFK,450,358,WEEKDAY
LAX,450,395,WEEKDAY
YVR,450,379,WEEKDAY
LAX,200,163,REDEYE
JFK,200,179,REDEYE
LAX,200,184,REDEYE
YVR,200,170,REDEYE
LAX,250,203,WEEKDAY
JFK,250,209,WEEKDAY
LAX,250,228,WEEKDAY
YVR,250,216,WEEKDAY
LAX,450,387,REDEYE
JFK,450,385,REDEYE
LAX,450,412,REDEYE
YVR,450,386,REDEYE
LAX,200,168,WEEKEND
JFK,200,166,WEEKEND
LAX,200,185,WEEKEND
YVR,200,189,WEEKEND
LAX,250,218,WEEKEND
JFK,250,216,WEEKEND
LAX,250,238,WEEKEND
YVR,250,217,WEEKEND
LAX,450,363,WEEKEND
JFK,450,396,WEEKEND
LAX,450,404,WEEKEND
YVR,450,397,WEEKEND
LAX,200,168,WEEKEND
JFK,200,159,WEEKEND
LAX,200,187,WEEKEND
YVR,200,191,WEEKEND
LAX,250,204,WEEKEND
JFK,250,211,WEEKEND
LAX,250,222,WEEKEND
YVR,250,230,WEEKEND
LAX,450,384,WEEKEND
JFK,450,361,WEEKEND
LAX,450,405,WEEKEND
YVR,450,416,WEEKEND
LAX,200,182,WEEKDAY
JFK,200,174,WEEKDAY
LAX,200,194,WEEKDAY
YVR,200,175,WEEKDAY
LAX,250,227,REDEYE
JFK,250,212,REDEYE
LAX,250,225,REDEYE
YVR,250,209,REDEYE
LAX,450,348,WEEKDAY
JFK,450,358,WEEKDAY
LAX,450,404,WEEKDAY
YVR,450,383,WEEKDAY
LAX,200,166,REDEYE
JFK,200,176,REDEYE
LAX,200,186,REDEYE
YVR,200,166,REDEYE
LAX,250,218,WEEKDAY
JFK,250,216,WEEKDAY
LAX,250,229,WEEKDAY
YVR,250,207,WEEKDAY
LAX,450,387,REDEYE
JFK,450,393,REDEYE
LAX,450,407,REDEYE
YVR,450,410,REDEYE
LAX,200,173,WEEKDAY
JFK,200,161,WEEKDAY
LAX,200,196,WEEKDAY
YVR,200,177,WEEKDAY
LAX,250,220,REDEYE
JFK,250,230,REDEYE
LAX,250,221,REDEYE
YVR,250,225,REDEYE
LAX,450,373,WEEKDAY
JFK,450,393,WEEKDAY
LAX,450,415,WEEKDAY
YVR,450,365,WEEKDAY
LAX,200,167,REDEYE
JFK,200,185,REDEYE
LAX,200,184,REDEYE
YVR,200,176,REDEYE
LAX,250,216,WEEKDAY
JFK,250,205,WEEKDAY
LAX,250,242,WEEKDAY
YVR,250,210,WEEKDAY
LAX,450,357,REDEYE
JFK,450,398,REDEYE
LAX,450,383,REDEYE
YVR,450,388,REDEYE
LAX,200,167,WEEKEND
JFK,200,163,WEEKEND
LAX,200,191,WEEKEND
YVR,200,186,WEEKEND
LAX,250,205,WEEKEND
JFK,250,212,WEEKEND
LAX,250,223,WEEKEND
YVR,250,216,WEEKEND
LAX,450,356,WEEKEND
JFK,450,371,WEEKEND
LAX,450,390,WEEKEND
YVR,450,404,WEEKEND
LAX,200,182,WEEKEND
JFK,200,165,WEEKEND
LAX,200,196,WEEKEND
YVR,200,183,WEEKEND
LAX,250,214,WEEKEND
JFK,250,217,WEEKEND
LAX,250,237,WEEKEND
YVR,250,237,WEEKEND
LAX,450,372,WEEKEND
JFK,450,400,WEEKEND
LAX,450,410,WEEKEND
YVR,450,411,WEEKEND
LAX,200,175,WEEKDAY
JFK,200,170,WEEKDAY
LAX,200,186,WEEKDAY
YVR,200,168,WEEKDAY
LAX,250,226,REDEYE
JFK,250,213,REDEYE
LAX,250,232,REDEYE
YVR,250,218,REDEYE
LAX,450,361,WEEKDAY
JFK,450,386,WEEKDAY
LAX,450,397,WEEKDAY
YVR,450,392,WEEKDAY
LAX,200,168,REDEYE
JFK,200,177,REDEYE
LAX,200,192,REDEYE
YVR,200,168,REDEYE
LAX,250,211,WEEKDAY
JFK,250,223,WEEKDAY
LAX,250,239,WEEKDAY
YVR,250,216,WEEKDAY
LAX,450,357,REDEYE
JFK,450,411,REDEYE
LAX,450,384,REDEYE
YVR,450,378,REDEYE
LAX,200,179,WEEKDAY
JFK,200,175,WEEKDAY
LAX,200,185,WEEKDAY
YVR,200,162,WEEKDAY
LAX,250,225,REDEYE
JFK,250,228,REDEYE
LAX,250,234,REDEYE
YVR,250,210,REDEYE
LAX,450,357,WEEKDAY
JFK,450,381,WEEKDAY
LAX,450,401,WEEKDAY
YVR,450,369,WEEKDAY
LAX,200,169,REDEYE
JFK,200,186,REDEYE
LAX,200,195,REDEYE
YVR,200,172,REDEYE
LAX,250,216,WEEKDAY
JFK,250,219,WEEKDAY
LAX,250,242,WEEKDAY
YVR,250,215,WEEKDAY
LAX,450,369,REDEYE
JFK,450,392,REDEYE
LAX,450,382,REDEYE
YVR,450,404,REDEYE
LAX,200,174,WEEKEND
JFK,200,161,WEEKEND
LAX,200,184,WEEKEND
YVR,200,187,WEEKEND
LAX,250,209,WEEKEND
JFK,250,207,WEEKEND
LAX,250,223,WEEKEND
YVR,250,234,WEEKEND
LAX,450,344,WEEKEND
JFK,450,380,WEEKEND
LAX,450,376,WEEKEND
YVR,450,432,WEEKEND
LAX,200,167,WEEKEND
JFK,200,160,WEEKEND
LAX,200,178,WEEKEND
YVR,200,177,WEEKEND
LAX,250,205,WEEKEND
JFK,250,206,WEEKEND
LAX,250,225,WEEKEND
YVR,250,225,WEEKEND
LAX,450,368,WEEKEND
JFK,450,382,WEEKEND
LAX,450,410,WEEKEND
YVR,450,398,WEEKEND
LAX,200,164,WEEKDAY
JFK,200,159,WEEKDAY
LAX,200,190,WEEKDAY
YVR,200,164,WEEKDAY
LAX,250,205,REDEYE
JFK,250,231,REDEYE
LAX,250,241,REDEYE
YVR,250,216,REDEYE
LAX,450,372,WEEKDAY
JFK,450,386,WEEKDAY
LAX,450,388,WEEKDAY
YVR,450,388,WEEKDAY
LAX,200,168,REDEYE
JFK,200,174,REDEYE
LAX,200,180,REDEYE
YVR,200,165,REDEYE
LAX,250,223,WEEKDAY
JFK,250,205,WEEKDAY
LAX,250,245,WEEKDAY
YVR,250,226,WEEKDAY
LAX,450,365,REDEYE
JFK,450,395,REDEYE
LAX,450,412,REDEYE
YVR,450,409,REDEYE
LAX,200,179,WEEKDAY
JFK,200,165,WEEKDAY
LAX,200,195,WEEKDAY
YVR,200,163,WEEKDAY
LAX,250,207,REDEYE
JFK,250,229,REDEYE
LAX,250,221,REDEYE
YVR,250,203,REDEYE
LAX,450,366,WEEKDAY
JFK,450,379,WEEKDAY
LAX,450,393,WEEKDAY
YVR,450,368,WEEKDAY
LAX,200,178,REDEYE
JFK,200,179,REDEYE
LAX,200,189,REDEYE
YVR,200,177,REDEYE
LAX,250,205,WEEKDAY
JFK,250,202,WEEKDAY
LAX,250,239,WEEKDAY
YVR,250,224,WEEKDAY
LAX,450,386,REDEYE
JFK,450,420,REDEYE
LAX,450,416,REDEYE
YVR,450,368,REDEYE
LAX,200,166,WEEKEND
JFK,200,165,WEEKEND
LAX,200,187,WEEKEND
YVR,200,172,WEEKEND
LAX,250,222,WEEKEND
JFK,250,206,WEEKEND
LAX,250,230,WEEKEND
YVR,250,229,WEEKEND
LAX,450,387,WEEKEND
JFK,450,360,WEEKEND
LAX,450,375,WEEKEND
YVR,450,403,WEEKEND
LAX,200,179,WEEKEND
JFK,200,178,WEEKEND
LAX,200,193,WEEKEND
YVR,200,172,WEEKEND
LAX,250,211,WEEKEND
JFK,250,210,WEEKEND
LAX,250,245,WEEKEND
YVR,250,215,WEEKEND
LAX,450,348,WEEKEND
JFK,450,398,WEEKEND
LAX,450,416,WEEKEND
YVR,450,397,WEEKEND
LAX,200,172,WEEKDAY
JFK,200,177,WEEKDAY
LAX,200,190,WEEKDAY
YVR,200,166,WEEKDAY
LAX,250,226,REDEYE
JFK,250,235,REDEYE
LAX,250,229,REDEYE
YVR,250,210,REDEYE
LAX,450,356,WEEKDAY
JFK,450,393,WEEKDAY
LAX,450,386,WEEKDAY
YVR,450,390,WEEKDAY
LAX,200,180,REDEYE
JFK,200,187,REDEYE
LAX,200,192,REDEYE
YVR,200,167,REDEYE
LAX,250,206,WEEKDAY
JFK,250,221,WEEKDAY
LAX,250,244,WEEKDAY
YVR,250,209,WEEKDAY
LAX,450,384,REDEYE
JFK,450,415,REDEYE
LAX,450,418,REDEYE
YVR,450,375,REDEYE
LAX,200,163,WEEKDAY
JFK,200,161,WEEKDAY
LAX,200,180,WEEKDAY
YVR,200,180,WEEKDAY
LAX,250,211,REDEYE
JFK,250,223,REDEYE
LAX,250,235,REDEYE
YVR,250,209,REDEYE
LAX,450,384,WEEKDAY
JFK,450,382,WEEKDAY
LAX,450,398,WEEKDAY
YVR,450,390,WEEKDAY
LAX,200,178,REDEYE
JFK,200,188,REDEYE
LAX,200,185,REDEYE
YVR,200,171,REDEYE
LAX,250,226,WEEKDAY
JFK,250,217,WEEKDAY
LAX,250,241,WEEKDAY
YVR,250,211,WEEKDAY
LAX,450,381,REDEYE
JFK,450,411,REDEYE
LAX,450,417,REDEYE
YVR,450,384,REDEYE
LAX,200,177,WEEKEND
JFK,200,173,WEEKEND
LAX,200,191,WEEKEND
YVR,200,172,WEEKEND
LAX,250,220,WEEKEND
JFK,250,207,WEEKEND
LAX,250,238,WEEKEND
YVR,250,220,WEEKEND
LAX,450,351,WEEKEND
JFK,450,399,WEEKEND
LAX,450,406,WEEKEND
YVR,450,417,WEEKEND
LAX,200,171,WEEKEND
JFK,200,171,WEEKEND
LAX,200,189,WEEKEND
YVR,200,187,WEEKEND
LAX,250,207,WEEKEND
JFK,250,208,WEEKEND
LAX,250,234,WEEKEND
YVR,250,221,WEEKEND
LAX,450,375,WEEKEND
JFK,450,377,WEEKEND
LAX,450,386,WEEKEND
YVR,450,396,WEEKEND
LAX,200,176,WEEKDAY
JFK,200,178,WEEKDAY
LAX,200,192,WEEKDAY
YVR,200,180,WEEKDAY
LAX,250,209,REDEYE
JFK,250,224,REDEYE
LAX,250,224,REDEYE
YVR,250,205,REDEYE
LAX,450,346,WEEKDAY
JFK,450,364,WEEKDAY
LAX,450,404,WEEKDAY
YVR,450,401,WEEKDAY
LAX,200,181,REDEYE
JFK,200,171,REDEYE
LAX,200,184,REDEYE
YVR,200,180,REDEYE
LAX,250,223,WEEKDAY
JFK,250,215,WEEKDAY
LAX,250,235,WEEKDAY
YVR,250,206,WEEKDAY
LAX,450,368,REDEYE
JFK,450,404,REDEYE
LAX,450,404,REDEYE
YVR,450,403,REDEYE
LAX,200,173,WEEKDAY
JFK,200,176,WEEKDAY
LAX,200,186,WEEKDAY
YVR,200,165,WEEKDAY
LAX,250,224,REDEYE
JFK,250,215,REDEYE
LAX,250,245,REDEYE
YVR,250,204,REDEYE
LAX,450,363,WEEKDAY
JFK,450,375,WEEKDAY
LAX,450,386,WEEKDAY
YVR,450,378,WEEKDAY
LAX,200,170,REDEYE
JFK,200,183,REDEYE
LAX,200,177,REDEYE
YVR,200,169,REDEYE
LAX,250,211,WEEKDAY
JFK,250,199,WEEKDAY
LAX,250,245,WEEKDAY
YVR,250,217,WEEKDAY
LAX,450,355,REDEYE
JFK,450,383,REDEYE
LAX,450,389,REDEYE
YVR,450,385,REDEYE
LAX,200,163,WEEKEND
JFK,200,169,WEEKEND
LAX,200,182,WEEKEND
YVR,200,188,WEEKEND
LAX,250,219,WEEKEND
JFK,250,204,WEEKEND
LAX,250,231,WEEKEND
YVR,250,232,WEEKEND
LAX,450,362,WEEKEND
JFK,450,361,WEEKEND
LAX,450,402,WEEKEND
YVR,450,393,WEEKEND
LAX,200,174,WEEKEND
JFK,200,163,WEEKEND
LAX,200,196,WEEKEND
YVR,200,176,WEEKEND
LAX,250,204,WEEKEND
JFK,250,214,WEEKEND
LAX,250,238,WEEKEND
YVR,250,234,WEEKEND
LAX,450,359,WEEKEND
JFK,450,380,WEEKEND
LAX,450,389,WEEKEND
YVR,450,393,WEEKEND
LAX,200,165,WEEKDAY
JFK,200,160,WEEKDAY
LAX,200,187,WEEKDAY
YVR,200,181,WEEKDAY
LAX,250,206,REDEYE
JFK,250,212,REDEYE
LAX,250,232,REDEYE
YVR,250,223,REDEYE
LAX,450,355,WEEKDAY
JFK,450,395,WEEKDAY
LAX,450,398,WEEKDAY
YVR,450,375,WEEKDAY
LAX,200,179,REDEYE
JFK,200,181,REDEYE
LAX,200,185,REDEYE
YVR,200,168,REDEYE
LAX,250,213,WEEKDAY
JFK,250,202,WEEKDAY
LAX,250,225,WEEKDAY
YVR,250,209,WEEKDAY
LAX,450,361,REDEYE
JFK,450,418,REDEYE
LAX,450,393,REDEYE
YVR,450,384,REDEYE
LAX,200,174,WEEKDAY
JFK,200,159,WEEKDAY
LAX,200,184,WEEKDAY
YVR,200,167,WEEKDAY
LAX,250,209,REDEYE
JFK,250,220,REDEYE
LAX,250,226,REDEYE
YVR,250,204,REDEYE
LAX,450,343,WEEKDAY
JFK,450,395,WEEKDAY
LAX,450,412,WEEKDAY
YVR,450,377,WEEKDAY
LAX,200,173,REDEYE
JFK,200,182,REDEYE
LAX,200,184,REDEYE
YVR,200,166,REDEYE
LAX,250,215,WEEKDAY
JFK,250,205,WEEKDAY
LAX,250,224,WEEKDAY
YVR,250,211,WEEKDAY
LAX,450,372,REDEYE
JFK,450,419,REDEYE
LAX,450,401,REDEYE
YVR,450,386,REDEYE
LAX,200,171,WEEKEND
JFK,200,170,WEEKEND
LAX,200,193,WEEKEND
YVR,200,190,WEEKEND
LAX,250,220,WEEKEND
JFK,250,219,WEEKEND
LAX,250,240,WEEKEND
YVR,250,232,WEEKEND
LAX,450,376,WEEKEND
JFK,450,397,WEEKEND
LAX,450,403,WEEKEND
YVR,450,416,WEEKEND
LAX,200,167,WEEKEND
JFK,200,167,WEEKEND
LAX,200,191,WEEKEND
YVR,200,189,WEEKEND
LAX,250,215,WEEKEND
JFK,250,215,WEEKEND
LAX,250,229,WEEKEND
YVR,250,225,WEEKEND
LAX,450,365,WEEKEND
JFK,450,381,WEEKEND
LAX,450,382,WEEKEND
YVR,450,407,WEEKEND
LAX,200,167,WEEKDAY
JFK,200,177,WEEKDAY
LAX,200,182,WEEKDAY
YVR,200,167,WEEKDAY
LAX,250,213,REDEYE
JFK,250,230,REDEYE
LAX,250,229,REDEYE
YVR,250,223,REDEYE
LAX,450,368,WEEKDAY
JFK,450,389,WEEKDAY
LAX,450,388,WEEKDAY
YVR,450,405,WEEKDAY
LAX,200,180,REDEYE
JFK,200,184,REDEYE
LAX,200,186,REDEYE
YVR,200,180,REDEYE
LAX,250,226,WEEKDAY
JFK,250,223,WEEKDAY
LAX,250,224,WEEKDAY
YVR,250,218,WEEKDAY
LAX,450,355,REDEYE
JFK,450,391,REDEYE
LAX,450,381,REDEYE
YVR,450,370,REDEYE
LAX,200,175,WEEKDAY
JFK,200,162,WEEKDAY
LAX,200,181,WEEKDAY
YVR,200,164,WEEKDAY
LAX,250,204,REDEYE
JFK,250,229,REDEYE
LAX,250,226,REDEYE
YVR,250,223,REDEYE
LAX,450,346,WEEKDAY
JFK,450,391,WEEKDAY
LAX,450,411,WEEKDAY
YVR,450,405,WEEKDAY
LAX,200,172,REDEYE
JFK,200,178,REDEYE
LAX,200,187,REDEYE
YVR,200,173,REDEYE
LAX,250,225,WEEKDAY
JFK,250,210,WEEKDAY
LAX,250,226,WEEKDAY
YVR,250,226,WEEKDAY
LAX,450,350,REDEYE
JFK,450,397,REDEYE
LAX,450,394,REDEYE
YVR,450,407,REDEYE
LAX,200,178,WEEKEND
JFK,200,176,WEEKEND
LAX,200,194,WEEKEND
YVR,200,187,WEEKEND
LAX,250,225,WEEKEND
JFK,250,218,WEEKEND
LAX,250,235,WEEKEND
YVR,250,224,WEEKEND
LAX,450,357,WEEKEND
JFK,450,383,WEEKEND
LAX,450,400,WEEKEND
YVR,450,408,WEEKEND
LAX,200,176,WEEKEND
JFK,200,159,WEEKEND
LAX,200,184,WEEKEND
YVR,200,179,WEEKEND
LAX,250,224,WEEKEND
JFK,250,219,WEEKEND
LAX,250,226,WEEKEND
YVR,250,225,WEEKEND
LAX,450,360,WEEKEND
JFK,450,377,WEEKEND
LAX,450,403,WEEKEND
YVR,450,409,WEEKEND
LAX,200,176,WEEKDAY
JFK,200,162,WEEKDAY
LAX,200,178,WEEKDAY
YVR,200,162,WEEKDAY
LAX,250,221,REDEYE
JFK,250,218,REDEYE
LAX,250,240,REDEYE
YVR,250,206,REDEYE
LAX,450,370,WEEKDAY
JFK,450,388,WEEKDAY
LAX,450,378,WEEKDAY
YVR,450,373,WEEKDAY
LAX,200,179,REDEYE
JFK,200,168,REDEYE
LAX,200,191,REDEYE
YVR,200,173,REDEYE
LAX,250,225,WEEKDAY
JFK,250,201,WEEKDAY
LAX,250,230,WEEKDAY
YVR,250,225,WEEKDAY
LAX,450,386,REDEYE
JFK,450,393,REDEYE
LAX,450,406,REDEYE
YVR,450,397,REDEYE
LAX,200,174,WEEKDAY
JFK,200,176,WEEKDAY
LAX,200,188,WEEKDAY
YVR,200,165,WEEKDAY
LAX,250,207,REDEYE
JFK,250,229,REDEYE
LAX,250,224,REDEYE
YVR,250,214,REDEYE
LAX,450,354,WEEKDAY
JFK,450,400,WEEKDAY
LAX,450,399,WEEKDAY
YVR,450,394,WEEKDAY
LAX,200,167,REDEYE
JFK,200,179,REDEYE
LAX,200,178,REDEYE
YVR,200,165,REDEYE
LAX,250,217,WEEKDAY
JFK,250,212,WEEKDAY
LAX,250,227,WEEKDAY
YVR,250,205,WEEKDAY
LAX,450,377,REDEYE
JFK,450,404,REDEYE
LAX,450,392,REDEYE
YVR,450,393,REDEYE
LAX,200,163,WEEKEND
JFK,200,169,WEEKEND
LAX,200,182,WEEKEND
YVR,200,177,WEEKEND
LAX,250,220,WEEKEND
JFK,250,211,WEEKEND
LAX,250,237,WEEKEND
YVR,250,231,WEEKEND
LAX,450,375,WEEKEND
JFK,450,393,WEEKEND
LAX,450,419,WEEKEND
YVR,450,396,WEEKEND
LAX,200,169,WEEKEND
JFK,200,177,WEEKEND
LAX,200,184,WEEKEND
YVR,200,189,WEEKEND
LAX,250,216,WEEKEND
JFK,250,208,WEEKEND
LAX,250,242,WEEKEND
YVR,250,223,WEEKEND
LAX,450,350,WEEKEND
JFK,450,385,WEEKEND
LAX,450,385,WEEKEND
YVR,450,407,WEEKEND
LAX,200,177,WEEKDAY
JFK,200,164,WEEKDAY
LAX,200,191,WEEKDAY
YVR,200,173,WEEKDAY
LAX,250,204,REDEYE
JFK,250,218,REDEYE
LAX,250,229,REDEYE
YVR,250,225,REDEYE
LAX,450,387,WEEKDAY
JFK,450,379,WEEKDAY
LAX,450,399,WEEKDAY
YVR,450,407,WEEKDAY
LAX,200,178,REDEYE
JFK,200,180,REDEYE
LAX,200,178,REDEYE
YVR,200,179,REDEYE
LAX,250,219,WEEKDAY
JFK,250,212,WEEKDAY
LAX,250,241,WEEKDAY
YVR,250,220,WEEKDAY
LAX,450,355,REDEYE
JFK,450,423,REDEYE
LAX,450,384,REDEYE
YVR,450,368,REDEYE
LAX,200,180,WEEKDAY
JFK,200,161,WEEKDAY
LAX,200,186,WEEKDAY
YVR,200,166,WEEKDAY
LAX,250,227,REDEYE
JFK,250,226,REDEYE
LAX,250,228,REDEYE
YVR,250,216,REDEYE
LAX,450,349,WEEKDAY
JFK,450,401,WEEKDAY
LAX,450,412,WEEKDAY
YVR,450,410,WEEKDAY
LAX,200,178,REDEYE
JFK,200,183,REDEYE
LAX,200,188,REDEYE
YVR,200,177,REDEYE
LAX,250,224,WEEKDAY
JFK,250,212,WEEKDAY
LAX,250,236,WEEKDAY
YVR,250,208,WEEKDAY
LAX,450,373,REDEYE
JFK,450,396,REDEYE
LAX,450,409,REDEYE
YVR,450,381,REDEYE
LAX,200,176,WEEKEND
JFK,200,166,WEEKEND
LAX,200,182,WEEKEND
YVR,200,191,WEEKEND
LAX,250,214,WEEKEND
JFK,250,221,WEEKEND
LAX,250,222,WEEKEND
YVR,250,228,WEEKEND
LAX,450,385,WEEKEND
JFK,450,397,WEEKEND
LAX,450,412,WEEKEND
YVR,450,427,WEEKEND
LAX,200,182,WEEKEND
JFK,200,172,WEEKEND
LAX,200,183,WEEKEND
YVR,200,189,WEEKEND
LAX,250,212,WEEKEND
JFK,250,220,WEEKEND
LAX,250,241,WEEKEND
YVR,250,235,WEEKEND
